city,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
東京,52,56,117,125,138,168,153,168,210,198,93,51
大阪,45,62,104,126,146,184,157,91,166,112,69,45
札幌,113,94,77,57,53,46,81,123,170,109,113,111
